,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
75,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",164313,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
76,"Ela é Espetacular (Mulher Kama Sutra 2)","Mc Livinho",161979,https://open.spotify.com/track/0x0V1IID2Sj902k6LzuWds
77,"Aquelas Coisas","João Gomes",161565,https://open.spotify.com/track/5igZy2wLV0KBzS1zvW9am8
78,"Watermelon Sugar","Harry Styles",161360,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
79,"Tô Sem Você","João Gomes",160289,https://open.spotify.com/track/1rFRjUkibxaMaUwGgKpfwe
80,"Kiss Me More (feat. SZA)","Doja Cat",159046,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
81,"Uma Ex (Ao Vivo)","Murilo Huff",159039,https://open.spotify.com/track/7xi4XR5EIOU6OHdIydLMjT
82,"Doutora 3","Mc Kevin",158899,https://open.spotify.com/track/4DWKtQVURjepn8uzBgmwuv
83,"É Problema","Matheus & Kauan",157107,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
84,"deja vu","Olivia Rodrigo",155290,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
85,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",155088,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
86,"Blinding Lights","The Weeknd",154926,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
87,"melhor sozinha :-)-:","Luísa Sonza",153554,https://open.spotify.com/track/6e4ewdwc5OhGhmnDHyNraC
88,"Pede Pra Voltar","Cleber & Cauan",152916,https://open.spotify.com/track/5IjLkZBAHwd77I2gAOKZLC
89,"drivers license","Olivia Rodrigo",150785,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
90,"Leave The Door Open","Bruno Mars",149731,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
91,"MULHER DO ANO XD","Luísa Sonza",149654,https://open.spotify.com/track/0s2SzCYqITp4lKdbxPQoYy
92,"Mtg Ta Brotando No Plantão Pra Tira Foto Com Revolver","Dj Wesley Gonzaga",149653,https://open.spotify.com/track/1pPuodu8A0LxAuVhf3QniW
93,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",149495,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
94,Alívio,"Jessé Aguiar",148531,https://open.spotify.com/track/40KZgKCIvRVIoZqv9lNBoP
95,"Ele Não Te Merece","Wesley Safadão",148298,https://open.spotify.com/track/7nsk0cwY5kfxBT21WEzmC0
96,"Ain't Shit","Doja Cat",147996,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
97,"Coração de Isca","Bruno & Marrone",147510,https://open.spotify.com/track/4lHoT8PvMpMg1l5kdxqNmD
98,BONEKINHA,"Gloria Groove",146302,https://open.spotify.com/track/79fCMoBLzr6KraMvFiQkrp
99,"É Amor","João Gomes",144480,https://open.spotify.com/track/4nEhc8lB3L2NhgF1ZiXKcE
100,"Triste com T","Pabllo Vittar",142286,https://open.spotify.com/track/0L8nJt3b5LjXvFfDt7x2pP
101,"Até Falar Chega (feat. Matheus & Kauan) - Ao Vivo","Diego & Victor Hugo",140565,https://open.spotify.com/track/0uoNRN1bvHcsGrrTa44Mj7
102,"Deixa de Onda (Porra Nenhuma)",DENNIS,140383,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
103,"Cê Tá Preparada - Ao Vivo",Tayrone,139480,https://open.spotify.com/track/1tYJnXtKLoWVIL4lZOouQG
104,"I WANNA BE YOUR SLAVE",Måneskin,139409,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
105,"Levitating (feat. DaBaby)","Dua Lipa",139395,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
106,"Preta do Cabelo Cacheado","Th CDM",137212,https://open.spotify.com/track/73x4PDzlTdJkAa8GtjnUs0
107,"Rei Lacoste","MD Chefe",136088,https://open.spotify.com/track/1jwEnLN5hMOwotwXfchUaf
108,"Último Beijo","Bruno & Marrone",135324,https://open.spotify.com/track/56kClQGx58w4meMz1JwQvB
109,"FALA MAL DE MIM","PEDRO SAMPAIO",135014,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
110,"Os Menino da Pecuária","Léo & Raphael",134572,https://open.spotify.com/track/49QpcTWIP16YgGLmiPDvTI
111,"Zap Zum","Pabllo Vittar",131523,https://open.spotify.com/track/7zyZ9yPXIQebb79PrMghpV
112,"Esperando Você","João Gomes",131224,https://open.spotify.com/track/1S3taf3Ml2hNxXeJEe6ZXG
113,"In My Mind",Alok,129762,https://open.spotify.com/track/7uoxJCPiqiEa3fvOQQQbyn
114,"Don't Start Now","Dua Lipa",129509,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
115,M4,Teto,128946,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
116,SexToU,"Rennan da Penha",128919,https://open.spotify.com/track/0RMpa3qNoB6rlVyhRmwwVO
117,"Cadê o Amor","Zé Vaqueiro",128457,https://open.spotify.com/track/1EHFiKkrppC5kXImn8LFBr
118,"Ei Tudo Bem","MC Zaquin",127719,https://open.spotify.com/track/3yNHwvq8n95NJTBILYEciD
